username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
RobotPuisi;07/11/2018 22:33;0;0;"serupa kami yang menelan keagungan, serupa seekor babi jalang yang menengadahi keagungan, celaka, putaran yang mau putus asa milik cintamu; baiklah, takdir tak berdosa milik mereka; apakah sang guru kejar sentuhan pelita langit?";;;;1,06019E+18;https://twitter.com/RobotPuisi/status/1060193440049360898;
CindyVerss_;07/11/2018 22:31;0;0;"Ketika keberhasilanmu tertunda, jangan putus asa, segera bangkit dan katakan: Aku bisa dan tak akan pernah menyerah""";;;;1,06019E+18;https://twitter.com/CindyVerss_/status/1060192921830322176;
RezaOnlyMe;07/11/2018 22:29;0;0;Ada Orang Yang Jauh Lebih kuat yang pernah mengalahkanku! dia orang yang tak pernah putus asa!;;;;1,06019E+18;https://twitter.com/RezaOnlyMe/status/1060192529792921600;
rabiey69;07/11/2018 22:27;0;2;Jangan sesekali putus asa apa ujian allah bagi kat kita . Sesungguhnya tabah itu adalah kekuatan kita utk hadapi pelbagai dugaan yg akn datang . Sekian;;;;1,06019E+18;https://twitter.com/rabiey69/status/1060192033791340545;
DanielJoni03;07/11/2018 22:24;0;0;"Penderitaan jiwa mengarahkan keburukan . Putus asa adalah sumber kesesatan ; dan kegelapan hati , pangkal penderitaan jiwa .";;;;1,06019E+18;https://twitter.com/DanielJoni03/status/1060191305320423424;
AfIekQ;07/11/2018 22:24;0;0;Kadang kala aku jealous aku menyerah aku putus asa aku tak keruan Tapi aku kena tahu inilah kehidupan Ada atas ada bawah Setiap orang lain ceritanya Mcm mana nk improving myself ni? Aku betul2 down la... aduhaiiii Tak leh gak nk sentiasa positive;;;;1,06019E+18;https://twitter.com/AfIekQ/status/1060191227528667136;
suriani_suaidi;07/11/2018 22:24;0;0;Suriani, jangan pernah mengalah.. jangan pernah putus asa.. anda boleh.. teruskan kawal emosi... Jangan menangis!!!!!!;;;;1,06019E+18;https://twitter.com/suriani_suaidi/status/1060191207215624192;
ancu_cs;07/11/2018 22:23;0;0;Semangat terus dede ip nya jangan mudah putus asa iya tetap semangat apapun cobaan hadapin trus kami kaga akan membiarkan kamu berjuang sendirian;;;;1,06019E+18;https://twitter.com/ancu_cs/status/1060191035815419905;
eldikoo;07/11/2018 22:20;0;0;Semoga asa tidak putus diterjang realita;;;;1,06019E+18;https://twitter.com/eldikoo/status/1060190227510095872;
chsnmlna;07/11/2018 22:19;1;0;"Kalo chat lo cuma di Read"" tapi ga ""Dibales"" Jangan sedih dan jangan putus asa, mungkin dia hobinya ""Membaca"" bukan ""Menulis"" :)""";;;;1,06019E+18;https://twitter.com/chsnmlna/status/1060190026800091136;
nrintnsrya;07/11/2018 22:14;0;0;Patut lah skrg rasa tak semangat sangat & cepat putus asa;;;;1,06019E+18;https://twitter.com/nrintnsrya/status/1060188788373090304;
vroomvroomdoy;07/11/2018 22:11;0;0;"Mikirnya cuma sebagai dia"" tuh penyemangat. Lagi sedih, putus asa.. selalu keinget mereka terus nonton video2 mereka dan kepikiran gaboleh nyerah. Mikir aja suatu saat gue harus bisa ketemu mereka. Jadiin 'fangirl' ini jadi hal yg positif, jgn malah dibawa galau""";;;;1,06019E+18;https://twitter.com/vroomvroomdoy/status/1060187912946376706;
